ReviewID,ReviewText,Sentiment
76,Terrible movie. I regret watching it.,Negative
77,A masterpiece! The director did a phenomenal job.,Negative
78,"The dialogue felt forced, and the pacing was off.",Negative
79,Enjoyed it thoroughly. Will watch it again.,Positive
80,I can't believe I wasted money on this movie. It was that bad.,Negative
81,This movie is absolutely fantastic! I loved every moment of it.,Positive
82,"The plot was confusing, and the characters were not well-developed.",Negative
83,An amazing cinematic experience. Highly recommended!,Positive
84,I couldn't follow the storyline. It was a waste of time.,Negative
85,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
86,Terrible movie. I regret watching it.,Positive
87,A masterpiece! The director did a phenomenal job.,Negative
88,"The dialogue felt forced, and the pacing was off.",Positive
89,Enjoyed it thoroughly. Will watch it again.,Negative
90,I can't believe I wasted money on this movie. It was that bad.,Negative
91,This movie is absolutely fantastic! I loved every moment of it.,Negative
92,"The plot was confusing, and the characters were not well-developed.",Negative
93,An amazing cinematic experience. Highly recommended!,Negative
94,I couldn't follow the storyline. It was a waste of time.,Negative
95,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
96,Terrible movie. I regret watching it.,Negative
97,A masterpiece! The director did a phenomenal job.,Negative
98,"The dialogue felt forced, and the pacing was off.",Negative
99,Enjoyed it thoroughly. Will watch it again.,Negative
100,I can't believe I wasted money on this movie. It was that bad.,Positive
101,This movie is absolutely fantastic! I loved every moment of it.,Positive
102,"The plot was confusing, and the characters were not well-developed.",Negative
103,An amazing cinematic experience. Highly recommended!,Negative
104,I couldn't follow the storyline. It was a waste of time.,Negative
105,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
106,Terrible movie. I regret watching it.,Negative
107,A masterpiece! The director did a phenomenal job.,Negative
108,"The dialogue felt forced, and the pacing was off.",Negative
109,Enjoyed it thoroughly. Will watch it again.,Negative
110,I can't believe I wasted money on this movie. It was that bad.,Positive
111,This movie is absolutely fantastic! I loved every moment of it.,Negative
112,"The plot was confusing, and the characters were not well-developed.",Positive
113,An amazing cinematic experience. Highly recommended!,Negative
114,I couldn't follow the storyline. It was a waste of time.,Negative
115,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
116,Terrible movie. I regret watching it.,Negative
117,A masterpiece! The director did a phenomenal job.,Positive
118,"The dialogue felt forced, and the pacing was off.",Negative
119,Enjoyed it thoroughly. Will watch it again.,Negative
120,I can't believe I wasted money on this movie. It was that bad.,Positive
121,This movie is absolutely fantastic! I loved every moment of it.,Negative
122,"The plot was confusing, and the characters were not well-developed.",Positive
123,An amazing cinematic experience. Highly recommended!,Negative
124,I couldn't follow the storyline. It was a waste of time.,Positive
125,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
126,Terrible movie. I regret watching it.,Negative
127,A masterpiece! The director did a phenomenal job.,Negative
128,"The dialogue felt forced, and the pacing was off.",Positive
129,Enjoyed it thoroughly. Will watch it again.,Negative
130,I can't believe I wasted money on this movie. It was that bad.,Negative
131,This movie is absolutely fantastic! I loved every moment of it.,Negative
132,"The plot was confusing, and the characters were not well-developed.",Positive
133,An amazing cinematic experience. Highly recommended!,Positive
134,I couldn't follow the storyline. It was a waste of time.,Positive
135,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
136,Terrible movie. I regret watching it.,Positive
137,A masterpiece! The director did a phenomenal job.,Positive
138,"The dialogue felt forced, and the pacing was off.",Positive
139,Enjoyed it thoroughly. Will watch it again.,Positive
140,I can't believe I wasted money on this movie. It was that bad.,Positive
141,This movie is absolutely fantastic! I loved every moment of it.,Negative
142,"The plot was confusing, and the characters were not well-developed.",Positive
143,An amazing cinematic experience. Highly recommended!,Negative
144,I couldn't follow the storyline. It was a waste of time.,Negative
145,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
146,Terrible movie. I regret watching it.,Positive
147,A masterpiece! The director did a phenomenal job.,Positive
148,"The dialogue felt forced, and the pacing was off.",Positive
149,Enjoyed it thoroughly. Will watch it again.,Positive
150,I can't believe I wasted money on this movie. It was that bad.,Negative
151,This movie is absolutely fantastic! I loved every moment of it.,Positive
152,"The plot was confusing, and the characters were not well-developed.",Positive
153,An amazing cinematic experience. Highly recommended!,Positive
154,I couldn't follow the storyline. It was a waste of time.,Positive
155,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
156,Terrible movie. I regret watching it.,Negative
157,A masterpiece! The director did a phenomenal job.,Positive
158,"The dialogue felt forced, and the pacing was off.",Negative
159,Enjoyed it thoroughly. Will watch it again.,Positive
160,I can't believe I wasted money on this movie. It was that bad.,Negative
161,This movie is absolutely fantastic! I loved every moment of it.,Positive
162,"The plot was confusing, and the characters were not well-developed.",Positive
163,An amazing cinematic experience. Highly recommended!,Negative
164,I couldn't follow the storyline. It was a waste of time.,Negative
165,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
166,Terrible movie. I regret watching it.,Positive
167,A masterpiece! The director did a phenomenal job.,Negative
168,"The dialogue felt forced, and the pacing was off.",Positive
169,Enjoyed it thoroughly. Will watch it again.,Positive
170,I can't believe I wasted money on this movie. It was that bad.,Negative
171,This movie is absolutely fantastic! I loved every moment of it.,Negative
172,"The plot was confusing, and the characters were not well-developed.",Positive
173,An amazing cinematic experience. Highly recommended!,Positive
174,I couldn't follow the storyline. It was a waste of time.,Negative
175,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
176,Terrible movie. I regret watching it.,Negative
177,A masterpiece! The director did a phenomenal job.,Positive
178,"The dialogue felt forced, and the pacing was off.",Positive
179,Enjoyed it thoroughly. Will watch it again.,Positive
180,I can't believe I wasted money on this movie. It was that bad.,Positive
181,This movie is absolutely fantastic! I loved every moment of it.,Positive
182,"The plot was confusing, and the characters were not well-developed.",Positive
183,An amazing cinematic experience. Highly recommended!,Negative
184,I couldn't follow the storyline. It was a waste of time.,Positive
185,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
186,Terrible movie. I regret watching it.,Positive
187,A masterpiece! The director did a phenomenal job.,Negative
188,"The dialogue felt forced, and the pacing was off.",Positive
189,Enjoyed it thoroughly. Will watch it again.,Positive
190,I can't believe I wasted money on this movie. It was that bad.,Negative
191,This movie is absolutely fantastic! I loved every moment of it.,Positive
192,"The plot was confusing, and the characters were not well-developed.",Positive
193,An amazing cinematic experience. Highly recommended!,Positive
194,I couldn't follow the storyline. It was a waste of time.,Positive
195,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
196,Terrible movie. I regret watching it.,Negative
197,A masterpiece! The director did a phenomenal job.,Negative
198,"The dialogue felt forced, and the pacing was off.",Negative
199,Enjoyed it thoroughly. Will watch it again.,Positive
200,I can't believe I wasted money on this movie. It was that bad.,Positive
201,This movie is absolutely fantastic! I loved every moment of it.,Positive
202,"The plot was confusing, and the characters were not well-developed.",Negative
203,An amazing cinematic experience. Highly recommended!,Positive
204,I couldn't follow the storyline. It was a waste of time.,Positive
205,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
206,Terrible movie. I regret watching it.,Positive
207,A masterpiece! The director did a phenomenal job.,Negative
208,"The dialogue felt forced, and the pacing was off.",Negative
209,Enjoyed it thoroughly. Will watch it again.,Negative
210,I can't believe I wasted money on this movie. It was that bad.,Positive
211,This movie is absolutely fantastic! I loved every moment of it.,Positive
212,"The plot was confusing, and the characters were not well-developed.",Positive
213,An amazing cinematic experience. Highly recommended!,Positive
214,I couldn't follow the storyline. It was a waste of time.,Positive
215,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
216,Terrible movie. I regret watching it.,Positive
217,A masterpiece! The director did a phenomenal job.,Negative
218,"The dialogue felt forced, and the pacing was off.",Positive
219,Enjoyed it thoroughly. Will watch it again.,Negative
220,I can't believe I wasted money on this movie. It was that bad.,Positive
221,This movie is absolutely fantastic! I loved every moment of it.,Positive
222,"The plot was confusing, and the characters were not well-developed.",Positive
223,An amazing cinematic experience. Highly recommended!,Negative
224,I couldn't follow the storyline. It was a waste of time.,Negative
225,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
226,Terrible movie. I regret watching it.,Negative
227,A masterpiece! The director did a phenomenal job.,Positive
228,"The dialogue felt forced, and the pacing was off.",Negative
229,Enjoyed it thoroughly. Will watch it again.,Positive
230,I can't believe I wasted money on this movie. It was that bad.,Positive
231,This movie is absolutely fantastic! I loved every moment of it.,Negative
232,"The plot was confusing, and the characters were not well-developed.",Negative
233,An amazing cinematic experience. Highly recommended!,Negative
234,I couldn't follow the storyline. It was a waste of time.,Negative
235,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
236,Terrible movie. I regret watching it.,Negative
237,A masterpiece! The director did a phenomenal job.,Negative
238,"The dialogue felt forced, and the pacing was off.",Negative
239,Enjoyed it thoroughly. Will watch it again.,Positive
240,I can't believe I wasted money on this movie. It was that bad.,Negative
241,This movie is absolutely fantastic! I loved every moment of it.,Negative
242,"The plot was confusing, and the characters were not well-developed.",Positive
243,An amazing cinematic experience. Highly recommended!,Negative
244,I couldn't follow the storyline. It was a waste of time.,Positive
245,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
246,Terrible movie. I regret watching it.,Negative
247,A masterpiece! The director did a phenomenal job.,Positive
248,"The dialogue felt forced, and the pacing was off.",Positive
249,Enjoyed it thoroughly. Will watch it again.,Positive
250,I can't believe I wasted money on this movie. It was that bad.,Positive
251,This movie is absolutely fantastic! I loved every moment of it.,Negative
252,"The plot was confusing, and the characters were not well-developed.",Positive
253,An amazing cinematic experience. Highly recommended!,Negative
254,I couldn't follow the storyline. It was a waste of time.,Positive
255,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
256,Terrible movie. I regret watching it.,Positive
257,A masterpiece! The director did a phenomenal job.,Positive
258,"The dialogue felt forced, and the pacing was off.",Negative
259,Enjoyed it thoroughly. Will watch it again.,Negative
260,I can't believe I wasted money on this movie. It was that bad.,Positive
261,This movie is absolutely fantastic! I loved every moment of it.,Positive
262,"The plot was confusing, and the characters were not well-developed.",Negative
263,An amazing cinematic experience. Highly recommended!,Positive
264,I couldn't follow the storyline. It was a waste of time.,Positive
265,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
266,Terrible movie. I regret watching it.,Negative
267,A masterpiece! The director did a phenomenal job.,Negative
268,"The dialogue felt forced, and the pacing was off.",Negative
269,Enjoyed it thoroughly. Will watch it again.,Positive
270,I can't believe I wasted money on this movie. It was that bad.,Positive
271,This movie is absolutely fantastic! I loved every moment of it.,Negative
272,"The plot was confusing, and the characters were not well-developed.",Negative
273,An amazing cinematic experience. Highly recommended!,Negative
274,I couldn't follow the storyline. It was a waste of time.,Negative
275,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
276,Terrible movie. I regret watching it.,Negative
277,A masterpiece! The director did a phenomenal job.,Positive
278,"The dialogue felt forced, and the pacing was off.",Negative
279,Enjoyed it thoroughly. Will watch it again.,Positive
280,I can't believe I wasted money on this movie. It was that bad.,Negative
281,This movie is absolutely fantastic! I loved every moment of it.,Negative
282,"The plot was confusing, and the characters were not well-developed.",Negative
283,An amazing cinematic experience. Highly recommended!,Negative
284,I couldn't follow the storyline. It was a waste of time.,Positive
285,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
286,Terrible movie. I regret watching it.,Positive
287,A masterpiece! The director did a phenomenal job.,Positive
288,"The dialogue felt forced, and the pacing was off.",Positive
289,Enjoyed it thoroughly. Will watch it again.,Positive
290,I can't believe I wasted money on this movie. It was that bad.,Negative
291,This movie is absolutely fantastic! I loved every moment of it.,Positive
292,"The plot was confusing, and the characters were not well-developed.",Positive
293,An amazing cinematic experience. Highly recommended!,Positive
294,I couldn't follow the storyline. It was a waste of time.,Negative
295,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
296,Terrible movie. I regret watching it.,Negative
297,A masterpiece! The director did a phenomenal job.,Negative
298,"The dialogue felt forced, and the pacing was off.",Positive
299,Enjoyed it thoroughly. Will watch it again.,Positive
300,I can't believe I wasted money on this movie. It was that bad.,Negative
301,This movie is absolutely fantastic! I loved every moment of it.,Positive
302,"The plot was confusing, and the characters were not well-developed.",Positive
303,An amazing cinematic experience. Highly recommended!,Positive
304,I couldn't follow the storyline. It was a waste of time.,Negative
305,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
306,Terrible movie. I regret watching it.,Positive
307,A masterpiece! The director did a phenomenal job.,Negative
308,"The dialogue felt forced, and the pacing was off.",Negative
309,Enjoyed it thoroughly. Will watch it again.,Negative
310,I can't believe I wasted money on this movie. It was that bad.,Negative
311,This movie is absolutely fantastic! I loved every moment of it.,Negative
312,"The plot was confusing, and the characters were not well-developed.",Positive
313,An amazing cinematic experience. Highly recommended!,Negative
314,I couldn't follow the storyline. It was a waste of time.,Positive
315,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
316,Terrible movie. I regret watching it.,Negative
317,A masterpiece! The director did a phenomenal job.,Positive
318,"The dialogue felt forced, and the pacing was off.",Positive
319,Enjoyed it thoroughly. Will watch it again.,Positive
320,I can't believe I wasted money on this movie. It was that bad.,Negative
321,This movie is absolutely fantastic! I loved every moment of it.,Negative
322,"The plot was confusing, and the characters were not well-developed.",Positive
323,An amazing cinematic experience. Highly recommended!,Negative
324,I couldn't follow the storyline. It was a waste of time.,Negative
325,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
326,Terrible movie. I regret watching it.,Negative
327,A masterpiece! The director did a phenomenal job.,Positive
328,"The dialogue felt forced, and the pacing was off.",Positive
329,Enjoyed it thoroughly. Will watch it again.,Negative
330,I can't believe I wasted money on this movie. It was that bad.,Negative
331,This movie is absolutely fantastic! I loved every moment of it.,Positive
332,"The plot was confusing, and the characters were not well-developed.",Positive
333,An amazing cinematic experience. Highly recommended!,Negative
334,I couldn't follow the storyline. It was a waste of time.,Positive
335,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
336,Terrible movie. I regret watching it.,Negative
337,A masterpiece! The director did a phenomenal job.,Positive
338,"The dialogue felt forced, and the pacing was off.",Positive
339,Enjoyed it thoroughly. Will watch it again.,Negative
340,I can't believe I wasted money on this movie. It was that bad.,Negative
341,This movie is absolutely fantastic! I loved every moment of it.,Positive
342,"The plot was confusing, and the characters were not well-developed.",Negative
343,An amazing cinematic experience. Highly recommended!,Positive
344,I couldn't follow the storyline. It was a waste of time.,Negative
345,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
346,Terrible movie. I regret watching it.,Positive
347,A masterpiece! The director did a phenomenal job.,Positive
348,"The dialogue felt forced, and the pacing was off.",Negative
349,Enjoyed it thoroughly. Will watch it again.,Negative
350,I can't believe I wasted money on this movie. It was that bad.,Positive
351,This movie is absolutely fantastic! I loved every moment of it.,Negative
352,"The plot was confusing, and the characters were not well-developed.",Positive
353,An amazing cinematic experience. Highly recommended!,Positive
354,I couldn't follow the storyline. It was a waste of time.,Negative
355,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
356,Terrible movie. I regret watching it.,Positive
357,A masterpiece! The director did a phenomenal job.,Negative
358,"The dialogue felt forced, and the pacing was off.",Negative
359,Enjoyed it thoroughly. Will watch it again.,Positive
360,I can't believe I wasted money on this movie. It was that bad.,Positive
361,This movie is absolutely fantastic! I loved every moment of it.,Negative
362,"The plot was confusing, and the characters were not well-developed.",Positive
363,An amazing cinematic experience. Highly recommended!,Positive
364,I couldn't follow the storyline. It was a waste of time.,Negative
365,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
366,Terrible movie. I regret watching it.,Positive
367,A masterpiece! The director did a phenomenal job.,Negative
368,"The dialogue felt forced, and the pacing was off.",Negative
369,Enjoyed it thoroughly. Will watch it again.,Positive
370,I can't believe I wasted money on this movie. It was that bad.,Positive
371,This movie is absolutely fantastic! I loved every moment of it.,Negative
372,"The plot was confusing, and the characters were not well-developed.",Negative
373,An amazing cinematic experience. Highly recommended!,Negative
374,I couldn't follow the storyline. It was a waste of time.,Negative
375,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
376,Terrible movie. I regret watching it.,Negative
377,A masterpiece! The director did a phenomenal job.,Negative
378,"The dialogue felt forced, and the pacing was off.",Positive
379,Enjoyed it thoroughly. Will watch it again.,Negative
380,I can't believe I wasted money on this movie. It was that bad.,Positive
381,This movie is absolutely fantastic! I loved every moment of it.,Negative
382,"The plot was confusing, and the characters were not well-developed.",Negative
383,An amazing cinematic experience. Highly recommended!,Negative
384,I couldn't follow the storyline. It was a waste of time.,Positive
385,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
386,Terrible movie. I regret watching it.,Negative
387,A masterpiece! The director did a phenomenal job.,Positive
388,"The dialogue felt forced, and the pacing was off.",Positive
389,Enjoyed it thoroughly. Will watch it again.,Positive
390,I can't believe I wasted money on this movie. It was that bad.,Positive
391,This movie is absolutely fantastic! I loved every moment of it.,Positive
392,"The plot was confusing, and the characters were not well-developed.",Positive
393,An amazing cinematic experience. Highly recommended!,Negative
394,I couldn't follow the storyline. It was a waste of time.,Negative
395,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
396,Terrible movie. I regret watching it.,Negative
397,A masterpiece! The director did a phenomenal job.,Negative
398,"The dialogue felt forced, and the pacing was off.",Negative
399,Enjoyed it thoroughly. Will watch it again.,Negative
400,I can't believe I wasted money on this movie. It was that bad.,Positive
401,This movie is absolutely fantastic! I loved every moment of it.,Negative
402,"The plot was confusing, and the characters were not well-developed.",Negative
403,An amazing cinematic experience. Highly recommended!,Positive
404,I couldn't follow the storyline. It was a waste of time.,Positive
405,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
406,Terrible movie. I regret watching it.,Negative
407,A masterpiece! The director did a phenomenal job.,Negative
408,"The dialogue felt forced, and the pacing was off.",Negative
409,Enjoyed it thoroughly. Will watch it again.,Negative
410,I can't believe I wasted money on this movie. It was that bad.,Negative
411,This movie is absolutely fantastic! I loved every moment of it.,Positive
412,"The plot was confusing, and the characters were not well-developed.",Negative
413,An amazing cinematic experience. Highly recommended!,Negative
414,I couldn't follow the storyline. It was a waste of time.,Positive
415,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
416,Terrible movie. I regret watching it.,Positive
417,A masterpiece! The director did a phenomenal job.,Positive
418,"The dialogue felt forced, and the pacing was off.",Negative
419,Enjoyed it thoroughly. Will watch it again.,Negative
420,I can't believe I wasted money on this movie. It was that bad.,Negative
421,This movie is absolutely fantastic! I loved every moment of it.,Negative
422,"The plot was confusing, and the characters were not well-developed.",Negative
423,An amazing cinematic experience. Highly recommended!,Negative
424,I couldn't follow the storyline. It was a waste of time.,Positive
425,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
426,Terrible movie. I regret watching it.,Positive
427,A masterpiece! The director did a phenomenal job.,Positive
428,"The dialogue felt forced, and the pacing was off.",Negative
429,Enjoyed it thoroughly. Will watch it again.,Positive
430,I can't believe I wasted money on this movie. It was that bad.,Negative
431,This movie is absolutely fantastic! I loved every moment of it.,Positive
432,"The plot was confusing, and the characters were not well-developed.",Negative
433,An amazing cinematic experience. Highly recommended!,Positive
434,I couldn't follow the storyline. It was a waste of time.,Negative
435,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
436,Terrible movie. I regret watching it.,Negative
437,A masterpiece! The director did a phenomenal job.,Negative
438,"The dialogue felt forced, and the pacing was off.",Negative
439,Enjoyed it thoroughly. Will watch it again.,Positive
440,I can't believe I wasted money on this movie. It was that bad.,Positive
441,This movie is absolutely fantastic! I loved every moment of it.,Positive
442,"The plot was confusing, and the characters were not well-developed.",Negative
443,An amazing cinematic experience. Highly recommended!,Positive
444,I couldn't follow the storyline. It was a waste of time.,Negative
445,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
446,Terrible movie. I regret watching it.,Positive
447,A masterpiece! The director did a phenomenal job.,Positive
448,"The dialogue felt forced, and the pacing was off.",Negative
449,Enjoyed it thoroughly. Will watch it again.,Positive
450,I can't believe I wasted money on this movie. It was that bad.,Negative
451,This movie is absolutely fantastic! I loved every moment of it.,Negative
452,"The plot was confusing, and the characters were not well-developed.",Negative
453,An amazing cinematic experience. Highly recommended!,Negative
454,I couldn't follow the storyline. It was a waste of time.,Negative
455,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
456,Terrible movie. I regret watching it.,Positive
457,A masterpiece! The director did a phenomenal job.,Negative
458,"The dialogue felt forced, and the pacing was off.",Negative
459,Enjoyed it thoroughly. Will watch it again.,Positive
460,I can't believe I wasted money on this movie. It was that bad.,Positive
461,This movie is absolutely fantastic! I loved every moment of it.,Negative
462,"The plot was confusing, and the characters were not well-developed.",Positive
463,An amazing cinematic experience. Highly recommended!,Negative
464,I couldn't follow the storyline. It was a waste of time.,Positive
465,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
466,Terrible movie. I regret watching it.,Positive
467,A masterpiece! The director did a phenomenal job.,Negative
468,"The dialogue felt forced, and the pacing was off.",Positive
469,Enjoyed it thoroughly. Will watch it again.,Positive
470,I can't believe I wasted money on this movie. It was that bad.,Negative
471,This movie is absolutely fantastic! I loved every moment of it.,Positive
472,"The plot was confusing, and the characters were not well-developed.",Negative
473,An amazing cinematic experience. Highly recommended!,Positive
474,I couldn't follow the storyline. It was a waste of time.,Negative
475,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
476,Terrible movie. I regret watching it.,Negative
477,A masterpiece! The director did a phenomenal job.,Positive
478,"The dialogue felt forced, and the pacing was off.",Negative
479,Enjoyed it thoroughly. Will watch it again.,Positive
480,I can't believe I wasted money on this movie. It was that bad.,Negative
481,This movie is absolutely fantastic! I loved every moment of it.,Negative
482,"The plot was confusing, and the characters were not well-developed.",Negative
483,An amazing cinematic experience. Highly recommended!,Positive
484,I couldn't follow the storyline. It was a waste of time.,Negative
485,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
486,Terrible movie. I regret watching it.,Negative
487,A masterpiece! The director did a phenomenal job.,Positive
488,"The dialogue felt forced, and the pacing was off.",Negative
489,Enjoyed it thoroughly. Will watch it again.,Positive
490,I can't believe I wasted money on this movie. It was that bad.,Positive
491,This movie is absolutely fantastic! I loved every moment of it.,Negative
492,"The plot was confusing, and the characters were not well-developed.",Positive
493,An amazing cinematic experience. Highly recommended!,Positive
494,I couldn't follow the storyline. It was a waste of time.,Negative
495,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
496,Terrible movie. I regret watching it.,Positive
497,A masterpiece! The director did a phenomenal job.,Positive
498,"The dialogue felt forced, and the pacing was off.",Negative
499,Enjoyed it thoroughly. Will watch it again.,Positive
500,I can't believe I wasted money on this movie. It was that bad.,Negative
501,This movie is absolutely fantastic! I loved every moment of it.,Positive
502,"The plot was confusing, and the characters were not well-developed.",Positive
503,An amazing cinematic experience. Highly recommended!,Positive
504,I couldn't follow the storyline. It was a waste of time.,Negative
505,"The acting was superb, and the soundtrack added to the overall atmosphere.",Positive
506,Terrible movie. I regret watching it.,Positive
507,A masterpiece! The director did a phenomenal job.,Negative
508,"The dialogue felt forced, and the pacing was off.",Positive
509,Enjoyed it thoroughly. Will watch it again.,Negative
510,I can't believe I wasted money on this movie. It was that bad.,Negative
511,This movie is absolutely fantastic! I loved every moment of it.,Positive
512,"The plot was confusing, and the characters were not well-developed.",Negative
513,An amazing cinematic experience. Highly recommended!,Positive
514,I couldn't follow the storyline. It was a waste of time.,Negative
515,"The acting was superb, and the soundtrack added to the overall atmosphere.",Negative
516,Terrible movie. I regret watching it.,Positive
517,A masterpiece! The director did a phenomenal job.,Negative
518,"The dialogue felt forced, and the pacing was off.",Negative
519,Enjoyed it thoroughly. Will watch it again.,Negative
520,I can't believe I wasted money on this movie. It was that bad.,Negative
